question,answer,category,notes
How do I report a missed bin collection?,You can report a missed bin collection by visiting your local council website and filling in the missed collection form. Most councils aim to collect within 2 working days of a report.,Waste & Recycling,
What day is my bin collected?,Bin collection days vary by address. Enter your postcode on your local council website to find your collection day.,Waste & Recycling,
How do I apply for a parking permit?,You can apply for a resident parking permit through your local council website. You will need proof of address and your vehicle registration number.,Parking,
How do I pay a parking fine?,Parking fines can be paid online through the link printed on the penalty charge notice. You usually get a 50% discount if you pay within 14 days.,Parking,
How do I register to vote?,You can register to vote at gov.uk/register-to-vote. You will need your National Insurance number and your address.,Voting & Elections,
When is the next local election?,Local election dates are announced by your council. Visit your local council website or gov.uk for upcoming election dates.,Voting & Elections,
How do I apply for a blue badge?,Blue badge applications are made through your local council. You will need to show proof of eligibility such as a disability or mobility issue.,Disability & Accessibility,
How do I report a pothole?,Report a pothole using the form on your local council website or through the FixMyStreet app. Include the road name and a photo if possible.,Roads & Highways,
How do I apply for council housing?,Contact your local council housing department to join the housing register. You will be assessed on your circumstances and given a priority banding.,Housing,
How do I report anti-social behaviour?,You can report anti-social behaviour to your local council or directly to the police on 101 for non-emergency issues.,Community & Safety,
How do I get a copy of my birth certificate?,Birth certificates can be ordered online through the General Register Office at gro.gov.uk or from your local register office.,Records & Documents,
How do I renew my passport?,UK passports are renewed through His Majesty's Passport Office at gov.uk/renew-adult-passport. Standard renewal takes up to 10 weeks.,Records & Documents,
How do I apply for universal credit?,Universal credit applications are made online at gov.uk/universal-credit. You will need your bank details and information about your housing costs.,Benefits & Support,
Where is my nearest GP surgery?,You can find your nearest GP surgery by visiting nhs.uk and using the GP finder tool with your postcode.,Health Services,
How do I register with a GP?,Contact a GP surgery directly to register as a patient. You do not need proof of address or an NHS number to register.,Health Services,
How do I get a repeat prescription?,Contact your GP surgery by phone or through their online system to request a repeat prescription. Many surgeries use the NHS App.,Health Services,
How do I report a street light that is not working?,Report a broken street light to your local council using the online fault reporting form. Include the lamp post number if visible.,Roads & Highways,
How do I apply for a school place?,School place applications are made through your local council's admissions team. Deadlines vary by school year group.,Education,
How do I appeal a school admissions decision?,If your child is refused a school place you have the right to appeal. Contact your local council for the appeals process and deadlines.,Education,
How do I find out about local recycling centres?,Your local council website will have a list of recycling centres and their opening hours. You can search by postcode.,Waste & Recycling,
How do I pay my council tax?,Council tax can be paid online through your local council website by direct debit card or bank transfer.,Council Tax,
How do I apply for a council tax reduction?,If you are on a low income you may qualify for a council tax reduction. Apply through your local council's benefits team.,Council Tax,
How do I report fly tipping?,Report fly tipping to your local council using the online reporting form or by calling the council's waste team.,Waste & Recycling,
How do I get planning permission?,Minor home alterations may not need planning permission. For larger changes apply through your local council planning portal at planningportal.co.uk.,Planning & Building,
How do I contact my local councillor?,You can find your local councillor's contact details on your council website by entering your postcode.,Local Government,
